MUNICIPIO,AGROPECUARIA,INDUSTRIA,ADM PUBLICA,SUBTOTAL,TOTAL,IMPOSTOS,PIB,PIB CAPITA
Adamantina,42.664,93.947,99.352,297.072,533.034,47.569,  580.603 ,17.195
Adolfo,25.966,10.433,12.063,15.708,64.171,1.812,  65.982 ,18.426
Aguaí,74.877,143.116,73.638,152.364,443.994,32.196,  476.191 ,15.008
Águas da Prata,6.026,9.769,17.934,41.580,75.309,5.052,  80.362 ,10.667
Águas de Lindóia,3.442,11.597,40.691,129.676,185.406,13.572,  198.978 ,11.579
Águas de Santa Bárbara,42.388,11.765,17.447,30.472,102.072,4.412,  106.484 ,19.104
Águas de São Pedro,0,4.273,11.624,42.517,58.414,3.857,  62.271 ,23.831
Agudos,63.060,528.237,84.033,271.548,946.878,228.467,  1.175.345 ,34.229
Alambari,31.312,3.166,11.694,9.694,55.866,740,  56.606 ,11.920
Alfredo Marcondes,4.866,6.781,10.967,10.207,32.821,1.579,  34.400 ,8.875
Altair,46.449,3.360,10.910,13.106,73.825,103,  73.928 ,19.527
Altinópolis,80.064,9.188,37.113,78.530,204.896,6.796,  211.691 ,13.532
Alto Alegre,25.408,16.135,12.240,16.890,70.672,2.505,  73.177 ,17.761
Alumínio,3.419,689.018,63.526,238.476,994.439,516.804,  1.511.243 ,90.564
Álvares Florence,16.295,45.928,10.315,16.187,88.724,2.643,  91.367 ,23.148
Álvares Machado,11.497,41.377,53.760,79.262,185.895,20.384,  206.279 ,8.780
Álvaro de Carvalho,7.109,1.327,11.450,7.873,27.759,803,  28.561 ,6.206
Alvinlândia,5.462,1.490,8.728,7.828,23.508,736,  24.243 ,8.179
Americana,8.056,2.011.046,549.569,2.524.524,5.093.194,1.068.219,  6.161.413 ,29.660
Américo Brasiliense,10.896,94.170,78.125,153.841,337.033,32.545,  369.577 ,10.948
Américo de Campos,15.415,2.990,14.324,16.187,48.915,1.434,  50.350 ,8.857
Amparo,128.842,916.754,171.407,708.730,1.925.733,326.199,  2.251.932 ,34.504
Analândia,20.332,37.763,16.179,26.278,100.552,4.437,  104.989 ,24.873
Andradina,72.531,491.597,104.506,487.497,1.156.132,105.821,  1.261.953 ,22.806
Angatuba,76.651,193.760,52.581,109.311,432.303,34.417,  466.720 ,21.302
Anhembi,47.637,16.760,17.139,19.540,101.077,7.635,  108.712 ,19.655
Anhumas,14.421,5.903,10.300,8.784,39.408,1.169,  40.577 ,10.949
Aparecida,931,51.217,87.014,296.797,435.959,26.734,  462.693 ,13.228
Aparecida d'Oeste,14.294,3.734,11.639,13.341,43.008,1.198,  44.206 ,9.826
Apiaí,79.936,49.444,57.278,92.382,279.039,23.487,  302.527 ,11.868
Araçariguama,841,372.038,44.791,276.129,693.800,188.736,  882.536 ,53.637
Araçatuba,111.576,591.122,418.391,1.997.733,3.118.823,367.947,  3.486.770 ,19.337
Araçoiaba da Serra,18.242,34.559,59.212,109.002,221.015,20.826,  241.840 ,9.143
Aramina,33.071,10.282,15.512,27.851,86.716,3.604,  90.320 ,17.776
Arandu,26.046,5.196,16.605,14.251,62.097,1.034,  63.131 ,10.259
Arapeí,2.386,1.006,8.611,4.900,16.903,3.660,  20.563 ,8.206
Araraquara,70.122,1.060.619,515.499,2.273.184,3.919.424,554.981,  4.474.405 ,21.750
Araras,88.742,928.093,289.692,1.268.088,2.574.615,377.823,  2.952.437 ,25.206
Arco-Íris,17.718,5.567,6.905,6.827,37.017,856,  37.873 ,19.343
Arealva,86.082,8.268,19.557,38.108,152.016,1.700,  153.716 ,19.758
Areias,7.179,526,11.005,5.234,23.944,763,  24.707 ,6.701
Areiópolis,15.326,10.783,27.240,26.297,79.647,2.687,  82.334 ,7.798
Ariranha,25.340,96.875,25.281,94.257,241.754,75.904,  317.657 ,37.731
Artur Nogueira,54.031,103.891,99.895,200.775,458.592,46.909,  505.501 ,11.759
Arujá,9.812,622.375,182.535,510.356,1.325.078,252.292,  1.577.370 ,21.558
Aspásia,4.097,1.259,5.861,3.115,14.333,359,  14.692 ,8.073
Assis,34.374,152.583,225.324,869.242,1.281.523,145.184,  1.426.707 ,15.140
Atibaia,99.120,680.229,315.348,1.484.484,2.579.181,452.723,  3.031.903 ,24.255
Auriflama,13.461,40.604,32.697,63.509,150.271,10.983,  161.254 ,11.400
Avaí,62.167,12.060,14.042,22.176,110.444,1.715,  112.159 ,22.824
Avanhandava,37.377,25.984,29.989,42.305,135.655,7.825,  143.480 ,12.990
Avaré,78.636,166.813,194.995,593.764,1.034.208,102.846,  1.137.053 ,13.827
Bady Bassitt,16.562,39.596,32.220,65.191,153.568,17.506,  171.075 ,12.009
Balbinos,1.090,3.478,10.614,4.029,19.211,978,  20.189 ,5.867
Bálsamo,28.664,23.400,19.158,35.008,106.230,7.894,  114.124 ,14.136
Bananal,6.088,29.232,28.172,36.421,99.913,7.220,  107.133 ,10.504
Barão de Antonina,3.374,829,9.077,8.001,21.282,720,  22.002 ,7.195
Barbosa,10.277,6.472,16.833,19.093,52.675,2.731,  55.406 ,8.520
Bariri,37.447,158.523,73.155,209.624,478.749,60.347,  539.096 ,17.264
Barra Bonita,16.069,281.682,84.160,319.607,701.519,76.405,  777.924 ,22.044
Barra do Chapéu,5.208,981,13.145,6.691,26.025,521,  26.545 ,5.085
Barra do Turvo,3.717,1.614,23.491,14.764,43.586,3.630,  47.217 ,6.074
Barretos,133.599,586.768,297.680,1.043.093,2.061.140,193.179,  2.254.319 ,20.294
Barrinha,21.845,36.182,63.817,83.228,205.073,13.779,  218.851 ,7.816
Barueri,102,3.660.136,927.837,16.797.187,21.385.262,7.076.978,  28.462.239 ,120.105
Bastos,291.519,34.533,49.817,96.955,472.824,6.406,  479.229 ,23.372
Batatais,117.996,210.345,101.415,411.459,841.214,77.612,  918.826 ,16.428
Bauru,28.940,1.066.230,808.594,4.052.358,5.956.121,849.190,  6.805.312 ,19.950
Bebedouro,86.282,246.721,179.930,626.102,1.139.036,129.681,  1.268.717 ,16.895
Bento de Abreu,34.299,20.338,11.582,18.418,84.636,3.774,  88.410 ,33.578
Bernardino de Campos,17.765,18.666,23.185,42.126,101.742,7.917,  109.659 ,10.188
Bertioga,1.807,96.040,162.576,383.262,643.686,55.065,  698.751 ,15.315
Bilac,32.661,4.572,18.330,35.580,91.143,3.212,  94.355 ,13.559
Birigui,51.845,404.498,244.299,647.495,1.348.137,152.981,  1.501.119 ,14.005
Biritiba-Mirim,138.412,17.403,59.346,93.090,308.251,7.500,  315.751 ,11.210
Boa Esperança do Sul,35.576,6.034,35.177,44.700,121.488,4.770,  126.258 ,9.332
Bocaina,23.225,70.208,28.461,65.129,187.023,16.199,  203.222 ,18.961
Bofete,32.835,17.718,24.232,28.041,102.826,5.449,  108.275 ,11.563
Boituva,28.418,586.639,113.748,517.140,1.245.946,178.775,  1.424.720 ,30.495
Bom Jesus dos Perdões,7.116,52.233,44.153,64.959,168.461,20.749,  189.210 ,9.967
Bom Sucesso de Itararé,2.578,13.525,10.529,7.088,33.720,2.019,  35.739 ,10.084
Borá,10.099,12.547,4.437,8.879,35.961,2.561,  38.523 ,47.383
Boracéia,10.360,89.158,12.124,19.512,131.154,5.732,  136.887 ,32.522
Borborema,88.300,14.482,35.764,72.657,211.203,5.198,  216.401 ,15.045
Borebi,19.364,2.306,9.216,7.538,38.423,379,  38.803 ,17.207
Botucatu,128.789,881.917,276.257,1.025.429,2.312.392,330.230,  2.642.622 ,21.087
Bragança Paulista,53.824,816.035,342.866,1.234.252,2.446.977,311.566,  2.758.543 ,19.099
Braúna,12.589,8.036,13.703,16.420,50.748,2.364,  53.112 ,10.749
Brejo Alegre,14.356,24.374,8.701,18.258,65.689,5.192,  70.881 ,27.797
Brodowski,35.362,35.180,50.199,99.453,220.193,16.002,  236.196 ,11.400
Brotas,74.138,53.148,57.754,131.614,316.654,24.188,  340.843 ,15.994
Buri,85.937,14.913,47.705,57.413,205.967,4.883,  210.851 ,11.423
Buritama,27.320,184.149,38.002,72.895,322.365,9.687,  332.052 ,21.802
Buritizal,34.899,12.883,14.201,42.525,104.509,5.459,  109.967 ,27.348
Cabrália Paulista,66.300,9.885,11.673,12.281,100.140,480,  100.619 ,22.889
Cabreúva,28.485,516.911,100.480,330.701,976.577,295.752,  1.272.329 ,31.301
Caçapava,8.275,1.171.857,198.858,832.835,2.211.825,408.658,  2.620.484 ,31.290
Cachoeira Paulista,8.161,60.070,71.707,166.301,306.239,16.866,  323.105 ,10.842
Caconde,31.174,90.669,42.876,52.053,216.773,5.558,  222.331 ,11.968
