MUNICIPIO,AGROPECUARIA,INDUSTRIA,ADM PUBLICA,SUBTOTAL,TOTAL,IMPOSTOS,PIB,PIB CAPITA
Adamantina,42.724,109.703,122.954,474.749,750.131,65.449,  815.579 ,24.097
Adolfo,29.340,5.430,16.811,20.387,71.968,1.561,  73.529 ,20.871
Aguaí,69.377,198.977,104.732,238.078,611.164,49.706,  660.870 ,19.918
Águas da Prata,9.285,17.659,26.438,52.617,105.998,5.415,  111.413 ,14.560
Águas de Lindóia,3.944,25.620,70.043,230.232,329.839,21.960,  351.799 ,19.977
Águas de Santa Bárbara,24.729,9.674,26.978,46.965,108.346,5.781,  114.127 ,20.022
Águas de São Pedro,0,7.392,17.909,67.112,92.413,4.396,  96.809 ,34.160
Agudos,75.047,833.463,126.904,477.843,1.513.256,387.155,  1.900.412 ,54.260
Alambari,26.432,4.503,18.122,17.463,66.519,3.844,  70.363 ,13.668
Alfredo Marcondes,4.784,16.077,15.187,19.863,55.911,9.817,  65.727 ,16.832
Altair,56.305,5.674,16.068,17.452,95.499,1.240,  96.738 ,24.913
Altinópolis,90.513,20.093,55.328,155.567,321.500,14.657,  336.157 ,21.576
Alto Alegre,26.077,5.624,16.617,22.210,70.528,2.563,  73.091 ,17.906
Alumínio,777,756.791,68.133,335.768,1.161.469,371.396,  1.532.864 ,89.245
Álvares Florence,30.589,27.002,16.952,21.114,95.657,2.008,  97.665 ,25.627
Álvares Machado,25.967,64.614,76.397,155.865,322.843,36.978,  359.821 ,15.270
Álvaro de Carvalho,5.078,2.054,15.854,12.544,35.530,926,  36.456 ,7.654
Alvinlândia,8.938,2.748,13.379,13.201,38.267,915,  39.182 ,12.825
Americana,11.159,2.626.250,861.407,4.954.773,8.453.589,1.631.553,  10.085.142 ,46.271
Américo Brasiliense,21.587,210.635,113.823,240.999,587.045,64.070,  651.115 ,17.969
Américo de Campos,18.537,2.896,21.227,25.205,67.865,1.773,  69.638 ,12.175
Amparo,114.373,1.224.582,236.778,1.175.090,2.750.823,518.328,  3.269.151 ,48.753
Analândia,19.712,42.686,21.154,37.354,120.906,3.231,  124.137 ,27.784
Andradina,92.564,730.257,185.366,833.265,1.841.453,191.465,  2.032.917 ,36.565
Angatuba,89.979,237.530,75.573,205.859,608.940,60.209,  669.149 ,29.242
Anhembi,34.056,15.017,26.431,25.654,101.157,5.329,  106.486 ,17.885
Anhumas,32.972,6.332,14.531,15.065,68.899,1.137,  70.036 ,18.392
Aparecida,1.329,68.897,125.900,518.539,714.665,46.024,  760.689 ,21.599
Aparecida d'Oeste,9.409,12.621,15.362,23.449,60.842,3.478,  64.320 ,14.786
Apiaí,172.007,168.454,77.772,191.114,609.348,44.975,  654.323 ,26.275
Araçariguama,874,584.261,85.618,413.804,1.084.557,289.272,  1.373.829 ,75.233
Araçatuba,92.843,1.026.851,570.567,3.737.384,5.427.645,666.946,  6.094.591 ,33.035
Araçoiaba da Serra,21.997,87.987,91.948,217.844,419.777,48.249,  468.026 ,16.249
Aramina,31.182,5.990,19.602,51.282,108.057,7.411,  115.468 ,21.944
Arandu,17.183,6.417,24.162,21.457,69.219,2.159,  71.378 ,11.640
Arapeí,3.052,1.267,11.545,6.202,22.066,515,  22.581 ,9.102
Araraquara,104.170,1.609.474,773.999,4.126.131,6.613.774,917.840,  7.531.614 ,35.018
Araras,79.651,1.158.984,413.554,2.023.678,3.675.866,535.511,  4.211.377 ,34.363
Arco-Íris,14.225,2.344,9.844,6.007,32.420,552,  32.972 ,17.501
Arealva,42.622,11.659,26.922,52.181,133.384,6.102,  139.486 ,17.545
Areias,8.274,895,16.014,9.050,34.233,666,  34.899 ,9.356
Areiópolis,20.708,9.246,36.393,42.277,108.624,4.046,  112.670 ,10.588
Ariranha,21.539,175.168,35.622,160.211,392.539,79.927,  472.466 ,53.781
