MUNICIPIO,AGROPECUARIA,INDUSTRIA,ADM PUBLICA,SUBTOTAL,TOTAL,IMPOSTOS,PIB,PIB CAPITA
Adamantina,26.499,98.156,65.071,220.537,410.263,37.286,447.549,13.247
Adolfo,19.759,5.462,8.667,10.381,44.269,1.311,45.580,12.515
Aguaí,140.000,128.583,47.504,121.072,437.159,24.819,461.979,15.098
Águas da Prata,4.510,7.546,11.744,18.962,42.762,2.340,45.101,6.120
Águas de Lindóia,3.102,13.296,31.710,100.120,148.228,11.846,160.074,9.495
Águas de Santa Bárbara,19.742,5.262,12.789,17.843,55.637,3.113,58.750,10.756
Águas de São Pedro,0,4.224,8.199,32.707,45.131,2.948,48.079,20.312
Agudos,71.528,372.717,56.327,197.561,698.133,187.848,885.981,26.217
Alambari,21.382,2.052,7.340,6.293,37.068,988,38.056,8.687
Alfredo Marcondes,3.495,3.413,6.338,8.735,21.980,1.131,23.111,6.014
Altair,35.141,2.570,7.897,10.307,55.915,3.653,59.568,16.165
Altinópolis,113.917,7.788,24.436,75.235,221.376,6.797,228.173,14.558
Alto Alegre,23.548,8.994,7.673,12.134,52.350,1.344,53.694,12.895
Alumínio,3.626,666.940,45.621,222.555,938.742,474.037,1.412.778,86.732
Álvares Florence,12.818,20.379,7.203,11.250,51.650,1.652,53.302,13.074
Álvares Machado,12.721,34.947,38.008,66.184,151.860,15.592,167.452,7.170
Álvaro de Carvalho,5.857,1.219,7.798,5.490,20.364,604,20.968,4.729
Alvinlândia,5.519,1.253,6.057,6.131,18.960,609,19.570,6.659
Americana,5.821,1.694.001,374.813,1.916.168,3.990.803,798.117,4.788.921,23.981
Américo Brasiliense,18.862,75.506,52.711,108.378,255.457,32.456,287.913,9.033
Américo de Campos,7.365,2.583,9.006,12.610,31.565,1.648,33.213,5.851
Amparo,58.957,559.772,116.792,474.129,1.209.650,207.434,1.417.085,22.209
Analândia,21.119,28.757,10.989,21.282,82.146,3.681,85.827,21.435
Andradina,44.287,348.253,92.519,331.563,816.622,65.897,882.519,15.914
Angatuba,66.941,79.016,33.370,69.251,248.578,17.952,266.529,12.633
Anhembi,33.782,10.865,10.544,13.472,68.664,6.624,75.288,14.548
Anhumas,12.829,3.216,5.886,6.463,28.394,713,29.107,8.043
Aparecida,736,30.150,55.885,207.978,294.749,22.010,316.759,9.068
Aparecida d'Oeste,12.764,2.674,7.151,10.464,33.053,916,33.969,7.269
Apiaí,47.158,29.963,37.431,61.719,176.271,12.825,189.096,7.200
Araçariguama,1.283,210.822,30.467,131.799,374.371,111.263,485.635,33.174
Araçatuba,66.674,351.959,287.396,1.396.977,2.103.006,276.929,2.379.935,13.445
Araçoiaba da Serra,11.510,23.396,37.611,82.597,155.113,17.657,172.770,7.125
Aramina,28.059,9.475,9.473,24.804,71.811,4.151,75.962,15.253
Arandu,11.914,3.847,11.351,9.256,36.367,1.236,37.604,6.089
Arapeí,1.492,846,6.307,5.529,14.174,798,14.972,5.906
Araraquara,129.086,853.163,332.741,1.637.775,2.952.765,444.323,3.397.088,17.155
Araras,92.015,720.356,201.125,927.505,1.941.001,263.429,2.204.430,19.542
Arco-Íris,11.140,3.304,4.798,4.583,23.824,643,24.467,12.029
Arealva,19.246,5.134,12.120,19.472,55.971,2.528,58.499,7.678
Areias,5.581,917,8.311,4.802,19.611,919,20.530,5.573
Areiópolis,23.581,9.034,16.451,21.191,70.257,2.149,72.406,6.892
Ariranha,24.958,99.542,16.642,87.086,228.228,54.518,282.747,34.757
Artur Nogueira,54.719,67.841,62.906,132.627,318.093,32.212,350.305,8.816
Arujá,7.125,433.665,110.405,332.258,883.453,154.735,1.038.189,15.135
Aspásia,5.543,1.130,3.821,2.759,13.253,285,13.537,7.369
Assis,23.462,114.617,145.867,619.503,903.449,104.926,1.008.375,10.968
Atibaia,59.984,472.714,217.924,877.224,1.627.847,274.516,1.902.363,15.743
Auriflama,7.523,17.888,21.639,42.054,89.103,6.478,95.581,6.832
Avaí,53.913,7.046,8.605,15.252,84.816,1.860,86.676,18.020
Avanhandava,36.346,20.643,16.180,30.447,103.616,10.694,114.311,11.098
Avaré,99.511,134.141,124.594,396.201,754.447,68.841,823.287,10.242
Bady Bassitt,12.227,42.640,21.573,52.908,129.347,13.729,143.076,10.715
Balbinos,1.670,1.825,3.868,2.802,10.165,616,10.781,3.929
Bálsamo,13.479,23.680,12.390,25.684,75.232,7.289,82.521,10.544
Bananal,3.779,20.706,17.196,29.742,71.423,6.930,78.353,7.787
Barão de Antonina,3.649,752,6.022,8.483,18.905,817,19.722,6.634
Barbosa,10.787,4.497,10.472,11.780,37.535,1.693,39.228,6.211
Bariri,60.307,85.800,43.373,168.846,358.327,37.839,396.165,13.070
Barra Bonita,28.361,279.328,58.338,280.763,646.791,78.774,725.565,20.465
Barra do Chapéu,8.947,968,8.439,6.266,24.620,378,24.998,4.882
Barra do Turvo,2.159,1.336,14.971,13.425,31.889,3.061,34.950,4.404
Barretos,175.649,413.129,206.731,811.394,1.606.903,147.247,1.754.150,16.128
Barrinha,37.812,21.380,41.624,57.046,157.862,7.982,165.843,6.209
Barueri,75,2.905.289,616.564,16.014.567,19.536.496,5.533.177,25.069.672,109.996
Bastos,168.886,32.244,33.576,73.825,308.531,17.650,326.181,15.802
Batatais,159.974,154.800,82.581,343.387,740.742,63.796,804.538,14.803
Bauru,23.194,757.925,495.820,2.767.076,4.044.016,609.234,4.653.249,13.952
Bebedouro,132.513,203.429,114.619,517.175,967.736,101.829,1.069.565,14.212
Bento de Abreu,35.199,19.056,7.802,16.817,78.874,3.102,81.976,32.287
Bernardino de Campos,14.705,14.825,15.821,32.620,77.972,6.428,84.400,7.818
Bertioga,1.343,161.549,110.699,255.356,528.946,35.825,564.771,14.018
Bilac,23.132,6.267,10.695,26.753,66.847,3.331,70.178,10.487
Birigui,26.927,377.148,161.348,484.881,1.050.304,125.058,1.175.362,11.428
Biritiba-Mirim,99.085,12.337,41.704,67.659,220.785,7.749,228.535,8.457
