MUNICIPIO,AGROPECUARIA,INDUSTRIA,ADM PUBLICA,SUBTOTAL,TOTAL,IMPOSTOS,PIB,PIB CAPITA
Adamantina,45.201,124.622,168.909,621.662,960.394,80.430,1.040.824,30.716
Adolfo,33.550,8.090,21.422,34.343,97.405,3.510,100.915,29.007
Aguaí,87.873,306.437,121.789,339.289,855.389,100.189,955.578,27.635
Águas da Prata,11.288,17.841,32.013,81.046,142.188,12.404,154.592,19.976
Águas de Lindóia,5.823,40.184,84.728,310.345,441.079,34.666,475.745,26.345
Águas de Santa Bárbara,43.381,9.172,31.962,58.407,142.922,7.564,150.486,25.799
Águas de São Pedro,0,9.159,20.471,95.873,125.503,7.305,132.809,44.211
Agudos,80.476,798.944,174.721,661.505,1.715.646,331.405,2.047.051,57.379
Alambari,35.578,8.125,24.266,30.487,98.456,4.393,102.850,18.659
Alfredo Marcondes,5.147,15.234,19.519,27.928,67.828,13.032,80.860,20.627
Altair,137.867,9.308,20.294,39.793,207.261,4.962,212.223,53.416
Altinópolis,195.155,22.142,64.685,219.708,501.690,23.272,524.962,33.742
Alto Alegre,36.909,12.419,22.009,32.944,104.281,6.939,111.220,27.482
Alumínio,1.270,898.346,92.241,386.661,1.378.517,480.933,1.859.450,105.435
Álvares Florence,54.505,4.337,20.016,24.447,103.305,2.370,105.675,28.561
Álvares Machado,21.248,102.479,96.297,240.871,460.894,61.859,522.754,22.079
Álvaro de Carvalho,9.807,2.751,19.157,17.329,49.044,1.832,50.876,10.337
Alvinlândia,25.525,4.504,15.774,17.695,63.498,957,64.455,20.619
Americana,9.880,2.740.136,960.988,5.727.401,9.438.405,1.545.798,10.984.203,48.341
Américo Brasiliense,30.759,308.567,143.002,406.549,888.877,92.348,981.226,25.439
Américo de Campos,33.237,4.336,26.572,37.301,101.446,2.755,104.202,18.176
Amparo,82.867,1.696.759,288.372,1.477.480,3.545.476,660.173,4.205.649,61.305
Analândia,37.155,44.849,26.432,46.947,155.383,5.033,160.416,34.175
Andradina,106.593,509.463,226.411,973.704,1.816.172,160.075,1.976.248,35.362
Angatuba,128.126,329.012,98.512,361.558,917.207,70.219,987.426,41.469
Anhembi,63.606,19.204,30.446,37.865,151.122,5.054,156.176,24.529
Anhumas,32.819,6.761,19.637,23.354,82.572,2.460,85.031,21.814
Aparecida,1.601,45.413,143.452,806.123,996.589,51.103,1.047.692,29.512
Aparecida d'Oeste,25.621,42.483,19.740,38.370,126.213,8.144,134.357,31.823
Apiaí,138.271,169.434,91.731,210.922,610.359,40.966,651.325,26.382
Araçariguama,1.186,766.313,107.358,1.481.901,2.356.758,485.806,2.842.564,143.166
Araçatuba,96.174,1.191.819,660.648,4.418.358,6.367.000,600.840,6.967.839,37.044
Araçoiaba da Serra,21.992,133.402,121.088,311.634,588.116,67.194,655.311,21.224
Aramina,36.585,5.614,24.621,71.989,138.810,11.392,150.202,27.805
Arandu,44.439,7.224,29.579,38.040,119.282,4.175,123.457,20.078
Arapeí,1.581,1.661,13.912,11.491,28.645,1.201,29.846,12.074
Araraquara,200.057,1.777.373,969.743,5.320.264,8.267.437,1.022.270,9.289.707,41.697
Araras,122.419,1.594.203,528.972,2.551.942,4.797.535,584.461,5.381.997,42.211
Arco-Íris,19.211,6.074,12.109,9.351,46.745,1.470,48.215,26.189
Arealva,63.078,12.519,33.031,92.514,201.142,11.847,212.989,26.314
Areias,5.874,2.012,19.630,14.568,42.084,1.534,43.617,11.512
Areiópolis,22.811,11.720,41.952,55.215,131.698,5.112,136.809,12.723
Ariranha,28.757,251.607,40.566,311.927,632.857,137.186,770.044,84.639
Artur Nogueira,115.396,173.705,185.970,514.385,989.456,110.456,1.099.912,21.845
Arujá,24.931,883.440,352.025,3.337.429,4.597.825,817.957,5.415.782,63.501
Aspásia,10.071,1.724,11.538,9.213,32.546,876,33.421,18.808
Assis,65.695,516.962,395.613,2.007.971,2.986.241,337.178,3.323.419,33.371
Atibaia,165.003,1.605.163,566.783,3.134.015,5.470.963,995.505,6.466.468,47.591
Auriflama,28.172,33.445,59.503,157.844,278.964,16.029,294.993,20.474
Avaí,162.332,10.691,25.660,61.262,259.945,6.107,266.052,51.253
Avanhandava,44.779,138.317,49.975,118.517,351.588,30.532,382.120,32.200
Avaré,119.650,476.007,352.381,1.465.598,2.413.636,225.840,2.639.476,30.607
Bady Bassitt,16.171,44.275,69.008,185.484,314.939,25.257,340.196,21.405
Balbinos,15.266,6.044,21.285,11.259,53.853,1.603,55.456,14.996
Bálsamo,36.588,23.699,33.940,107.398,201.625,15.336,216.961,25.740
Bananal,8.611,33.999,45.842,96.661,185.113,16.781,201.894,19.202
Barão de Antonina,7.526,2.183,17.077,15.248,42.032,1.630,43.662,13.227
Barbosa,16.893,7.323,27.651,33.596,85.462,3.365,88.827,12.560
Bariri,72.378,261.691,137.966,539.923,1.011.958,118.740,1.130.698,33.940
Barra Bonita,21.504,403.626,141.093,611.754,1.177.977,127.481,1.305.458,37.298
Barra do Chapéu,36.794,3.565,21.570,18.406,80.335,1.952,82.287,15.129
Barra do Turvo,3.855,4.111,34.894,36.270,79.130,7.280,86.409,11.266
Barretos,239.260,1.168.596,513.944,2.389.836,4.311.637,368.599,4.680.236,40.195
Barrinha,30.739,84.552,117.989,209.044,442.325,25.637,467.961,14.999
Barueri,336,4.229.273,1.728.842,28.122.211,34.080.663,13.661.186,47.741.849,185.387
Bastos,580.210,93.035,81.041,269.457,1.023.743,41.921,1.065.663,52.558
Batatais,170.049,211.132,233.565,808.844,1.423.590,110.000,1.533.590,25.920
Bauru,42.933,2.587.990,1.390.165,8.601.285,12.622.373,1.247.404,13.869.778,38.676
Bebedouro,120.480,481.467,309.045,1.918.062,2.829.053,391.529,3.220.583,43.239
Bento de Abreu,37.580,75.313,17.681,41.972,172.546,13.582,186.128,64.943
Bernardino de Campos,26.365,52.512,42.580,91.405,212.863,16.109,228.972,21.246
Bertioga,5.979,158.843,351.906,994.096,1.510.824,94.164,1.604.987,27.391
Bilac,56.254,8.377,30.833,79.060,174.524,8.244,182.768,24.029
Birigui,67.652,594.935,462.336,1.751.161,2.876.085,310.585,3.186.670,27.053
Biritiba-Mirim,293.618,39.927,113.533,235.185,682.263,25.603,707.867,22.692
Boa Esperança do Sul,135.844,33.984,61.853,119.878,351.559,17.027,368.586,25.770
Bocaina,39.913,26.271,51.110,95.657,212.950,12.323,225.273,19.144
Bofete,31.036,23.806,45.458,60.298,160.599,8.458,169.057,15.872
Boituva,23.616,889.354,248.444,1.114.682,2.276.096,403.021,2.679.117,48.874
Bom Jesus dos Perdões,8.350,288.688,95.275,320.918,713.231,114.327,827.558,36.034
Bom Sucesso de Itararé,3.962,12.816,18.412,16.079,51.270,2.499,53.769,14.277
Borá,14.627,34.188,7.998,18.855,75.668,5.832,81.500,100.618
Boracéia,21.310,194.824,23.249,100.046,339.429,32.724,372.153,80.640
Borborema,122.079,26.655,64.943,171.892,385.569,20.313,405.882,26.855
Borebi,19.188,3.515,15.882,20.168,58.752,3.474,62.227,24.921
Botucatu,194.541,963.890,457.842,2.288.252,3.904.525,375.927,4.280.452,31.168
Bragança Paulista,50.981,1.371.503,601.624,2.940.371,4.964.479,672.233,5.636.712,35.386
Braúna,23.531,7.897,24.170,34.999,90.597,3.505,94.102,17.420
Brejo Alegre,10.359,77.679,18.050,49.021,155.109,16.786,171.894,63.359
Brodowski,62.260,146.992,97.366,284.916,591.534,57.483,649.017,28.003
Brotas,96.909,154.978,100.366,347.117,699.370,68.445,767.815,33.078
Buri,97.996,36.972,81.160,132.899,349.027,19.302,368.329,19.080
Buritama,50.861,259.865,70.060,208.838,589.623,31.470,621.093,38.179
Buritizal,42.539,67.620,25.234,42.263,177.657,8.425,186.082,43.929
Cabrália Paulista,17.475,15.320,21.319,24.321,78.436,4.755,83.191,19.271
Cabreúva,28.712,1.045.939,211.099,2.218.370,3.504.121,992.422,4.496.543,95.533
Caçapava,17.709,1.626.082,342.568,1.517.847,3.504.206,680.291,4.184.497,46.763
Cachoeira Paulista,13.006,69.828,122.262,357.011,562.106,29.915,592.021,18.721
Caconde,84.813,41.662,69.380,137.214,333.070,10.744,343.814,18.335
Cafelândia,97.479,87.691,75.129,187.730,448.029,31.099,479.129,28.085
Caiabu,18.381,3.802,18.810,17.492,58.485,1.275,59.760,14.583
Caieiras,1.876,1.130.683,366.927,1.374.464,2.873.951,444.867,3.318.817,34.439
Caiuá,24.940,2.880,27.556,18.713,74.089,3.859,77.949,14.342
Cajamar,195,2.054.126,390.543,8.885.839,11.330.704,3.476.512,14.807.216,201.218
Cajati,236.014,570.293,117.781,387.783,1.311.871,152.860,1.464.731,51.041
Cajobi,28.436,9.646,40.182,67.875,146.140,7.042,153.181,15.294
Cajuru,105.637,104.131,96.411,222.913,529.091,54.306,583.397,23.354
Campina do Monte Alegre,20.901,13.108,26.171,44.375,104.555,5.336,109.892,19.152
Campinas,103.183,9.380.025,4.542.556,34.797.016,48.822.779,9.646.761,58.469.540,50.810
Campo Limpo Paulista,6.544,479.276,295.796,857.198,1.638.814,211.786,1.850.600,23.051
Campos do Jordão,3.881,123.908,212.895,781.761,1.122.445,73.508,1.195.953,24.189
Campos Novos Paulista,46.180,9.508,23.215,42.544,121.447,5.525,126.973,26.833
Cananéia,33.096,48.353,54.527,112.212,248.187,11.327,259.514,21.162
Canas,1.262,42.293,23.604,52.501,119.661,10.287,129.948,26.727
Cândido Mota,104.489,177.450,123.239,498.328,903.507,102.636,1.006.143,33.553
Cândido Rodrigues,44.705,12.641,15.599,36.536,109.481,5.673,115.154,43.048
Canitar,11.032,77.136,22.943,45.735,156.846,15.024,171.870,35.821
Capão Bonito,126.724,84.435,177.329,402.288,790.775,48.717,839.492,18.152
Capela do Alto,36.621,24.420,82.247,123.331,266.619,16.210,282.829,14.426
Capivari,68.515,590.774,233.395,773.988,1.666.672,250.862,1.917.534,36.495
Caraguatatuba,15.623,332.195,553.422,1.816.876,2.718.117,212.422,2.930.539,26.215
Carapicuíba,240,816.530,1.086.566,3.139.410,5.042.746,474.158,5.516.905,14.229
Cardoso,79.429,14.669,51.892,105.427,251.416,8.101,259.517,22.088
Casa Branca,191.197,63.319,123.993,379.235,757.744,61.234,818.978,28.120
Cássia dos Coqueiros,94.947,5.684,15.137,22.932,138.700,1.670,140.370,55.504
Castilho,66.154,473.181,101.474,363.052,1.003.860,97.890,1.101.750,55.284
Catanduva,60.809,819.099,475.354,2.238.146,3.593.408,355.524,3.948.932,34.028
Catiguá,24.766,6.654,30.922,49.794,112.136,6.172,118.307,15.949
