MUNICIPIO,AGROPECUARIA,INDUSTRIA,ADM PUBLICA,SUBTOTAL,TOTAL,IMPOSTOS,PIB,PIB CAPITA
Adamantina,35.510,131.611,177.739,655.890,1.000.751,83.655,1.084.405,30.714
Adolfo,22.647,11.020,22.194,33.366,89.227,3.147,92.374,29.091
Aguaí,81.936,314.195,128.003,361.395,885.529,122.658,1.008.187,27.366
Águas da Prata,9.984,19.333,32.801,91.831,153.949,14.356,168.305,19.927
Águas de Lindóia,4.870,37.780,89.096,325.597,457.343,34.179,491.522,26.193
Águas de Santa Bárbara,50.437,9.780,34.091,64.286,158.594,8.237,166.830,25.658
Águas de São Pedro,0,10.763,21.329,96.792,128.883,7.063,135.947,43.644
Agudos,76.596,927.746,177.012,698.060,1.879.413,323.937,2.203.350,57.136
Alambari,30.973,7.398,25.509,31.982,95.862,4.635,100.497,18.366
Alfredo Marcondes,5.031,13.695,20.358,29.083,68.166,15.206,83.373,20.612
Altair,49.937,5.356,21.698,26.116,103.107,3.726,106.833,53.136
Altinópolis,148.080,18.674,67.168,235.716,469.638,28.085,497.723,33.744
Alto Alegre,32.914,10.186,22.688,35.518,101.305,6.407,107.712,27.550
Alumínio,901,1.019.462,88.406,442.604,1.551.373,553.732,2.105.105,104.775
Álvares Florence,62.758,4.836,20.770,28.580,116.944,2.752,119.696,28.771
Álvares Machado,16.093,100.751,98.416,256.013,471.273,59.445,530.718,22.044
Álvaro de Carvalho,6.328,2.614,20.871,18.317,48.130,1.757,49.886,10.253
Alvinlândia,14.523,3.757,16.447,16.305,51.032,874,51.906,20.514
Americana,8.833,2.835.213,985.881,5.897.598,9.727.525,1.604.884,11.332.408,47.907
Américo Brasiliense,16.766,303.903,150.140,399.646,870.455,88.981,959.435,25.082
Américo de Campos,41.925,4.507,27.250,40.805,114.487,3.245,117.732,18.173
Amparo,76.338,1.931.615,301.017,1.614.061,3.923.030,723.479,4.646.510,61.000
Analândia,32.738,59.867,31.432,54.169,178.206,5.787,183.994,33.800
Andradina,99.993,406.638,238.115,1.029.211,1.773.957,148.529,1.922.486,35.326
Angatuba,139.757,304.750,105.384,382.204,932.094,76.318,1.008.412,41.078
Anhembi,73.715,25.047,32.282,41.777,172.821,7.065,179.886,24.150
Anhumas,25.171,5.774,20.043,21.400,72.389,2.436,74.825,21.697
Aparecida,1.512,43.174,146.186,839.747,1.030.619,52.154,1.082.773,29.454
Aparecida d'Oeste,26.077,34.433,20.610,39.826,120.945,7.624,128.569,32.051
Apiaí,108.332,138.625,94.383,211.151,552.491,42.197,594.687,26.390
Araçariguama,1.178,901.461,116.826,1.671.907,2.691.373,579.486,3.270.859,140.561
Araçatuba,109.039,1.148.211,681.473,4.784.946,6.723.668,625.753,7.349.421,36.890
Araçoiaba da Serra,21.195,229.311,133.253,395.295,779.055,82.926,861.982,20.888
Aramina,27.689,5.008,23.065,62.271,118.033,8.575,126.608,27.646
Arandu,39.403,6.090,29.489,38.613,113.596,3.984,117.579,20.061
Arapeí,1.751,1.626,14.357,11.955,29.689,1.015,30.704,12.079
Araraquara,92.963,1.691.653,1.003.151,5.591.594,8.379.360,1.029.754,9.409.114,41.400
Araras,102.408,1.365.753,553.300,2.912.399,4.933.860,631.278,5.565.138,41.826
Arco-Íris,21.884,5.855,12.949,10.907,51.595,1.420,53.015,26.318
Arealva,68.028,14.517,34.653,99.796,216.993,13.795,230.788,26.208
Areias,4.859,1.275,20.163,15.233,41.529,1.598,43.128,11.457
Areiópolis,25.747,11.397,42.396,57.954,137.494,5.508,143.002,12.682
Ariranha,21.245,193.090,41.534,314.515,570.385,158.198,728.583,83.965
Artur Nogueira,113.925,197.633,194.738,549.745,1.056.041,128.229,1.184.269,21.528
Arujá,24.321,943.418,366.045,3.808.517,5.142.301,1.013.113,6.155.414,62.433
Aspásia,10.855,1.793,11.719,9.868,34.236,970,35.205,18.840
Assis,46.341,544.811,395.939,2.043.500,3.030.592,332.744,3.363.336,33.173
Atibaia,162.829,1.827.296,592.132,3.409.763,5.992.019,1.148.385,7.140.404,47.164
Auriflama,23.372,38.187,61.839,164.652,288.049,16.761,304.811,20.444
Avaí,164.244,10.068,26.843,62.381,263.536,8.372,271.908,50.939
Avanhandava,34.995,101.048,52.820,106.525,295.388,24.078,319.465,31.979
Avaré,119.567,482.741,369.711,1.533.104,2.505.122,232.038,2.737.161,30.455
Bady Bassitt,11.719,36.176,71.524,204.454,323.874,29.547,353.421,21.213
Balbinos,14.707,5.326,23.367,12.349,55.749,1.814,57.563,14.992
Bálsamo,26.725,25.469,36.223,98.292,186.709,16.331,203.040,25.646
Bananal,6.752,32.807,46.592,87.511,173.662,10.892,184.554,19.119
Barão de Antonina,14.068,2.500,17.663,17.543,51.774,1.501,53.276,13.120
Barbosa,15.706,7.220,28.666,39.502,91.094,3.817,94.911,12.437
Bariri,53.788,282.602,142.947,554.074,1.033.411,126.788,1.160.199,33.712
Barra Bonita,16.371,368.604,149.026,636.457,1.170.458,112.074,1.282.532,37.330
Barra do Chapéu,32.535,3.397,24.158,18.623,78.713,2.504,81.216,15.043
Barra do Turvo,3.327,4.871,35.624,40.065,83.887,7.133,91.020,11.257
Barretos,190.091,1.193.448,521.552,2.548.345,4.453.436,405.933,4.859.369,40.011
Barrinha,22.469,83.370,123.152,253.678,482.668,34.988,517.656,14.821
Barueri,319,4.525.241,1.844.660,30.068.622,36.438.842,14.127.802,50.566.644,183.769
Bastos,431.963,108.312,85.205,282.323,907.803,51.722,959.525,52.537
Batatais,128.089,221.976,240.525,865.557,1.456.146,133.922,1.590.068,25.767
Bauru,46.896,2.641.158,1.430.661,9.163.827,13.282.542,1.359.519,14.642.061,38.476
Bebedouro,94.929,450.709,334.260,2.028.481,2.908.379,436.173,3.344.551,43.303
Bento de Abreu,34.274,61.079,18.524,40.825,154.701,12.846,167.547,64.359
Bernardino de Campos,25.258,40.163,44.581,94.821,204.824,15.435,220.259,21.240
Bertioga,5.675,177.572,371.543,1.040.199,1.594.989,95.607,1.690.596,26.696
Bilac,56.993,8.397,32.428,86.280,184.098,8.944,193.041,23.810
Birigui,52.355,630.094,473.614,1.864.875,3.020.938,315.632,3.336.570,26.788
Biritiba-Mirim,280.871,39.589,115.046,228.394,663.899,23.703,687.603,22.421
Boa Esperança do Sul,86.293,21.127,63.419,121.809,292.647,16.837,309.484,25.603
Bocaina,33.781,26.456,50.629,91.259,202.126,15.340,217.466,18.950
Bofete,33.781,27.473,47.331,68.836,177.420,9.696,187.116,15.668
