MUNICIPIO,AGROPECUARIA,INDUSTRIA,ADM PUBLICA,SUBTOTAL,TOTAL,IMPOSTOS,PIB,PIB CAPITA
Adamantina,35.561,268.214,144.883,540.800,989.458,69.639,1.059.097,31.261
Adolfo,21.365,5.704,20.262,23.813,71.145,2.564,73.709,21.054
Aguaí,52.152,146.918,117.691,281.902,598.663,71.398,670.060,19.761
Águas da Prata,12.123,18.653,30.779,65.584,127.139,9.880,137.018,17.795
Águas de Lindóia,5.740,72.017,82.316,279.839,439.912,30.358,470.270,26.344
Águas de Santa Bárbara,13.618,12.143,32.267,54.578,112.606,8.425,121.031,20.980
Águas de São Pedro,0,9.704,19.242,87.925,116.871,8.442,125.313,42.798
Agudos,41.945,1.495.282,149.541,604.063,2.290.831,354.592,2.645.423,74.784
Alambari,30.958,5.951,22.313,21.643,80.865,3.788,84.653,15.850
Alfredo Marcondes,4.557,15.870,17.596,23.403,61.426,10.263,71.689,18.307
Altair,41.699,4.636,19.141,18.065,83.541,2.174,85.716,21.805
Altinópolis,99.486,21.928,61.593,179.579,362.585,18.716,381.301,24.502
Alto Alegre,21.581,6.560,20.170,26.005,74.316,4.563,78.879,19.395
Alumínio,746,835.936,81.145,361.871,1.279.698,524.999,1.804.697,103.629
Álvares Florence,33.052,11.744,19.172,22.221,86.189,1.777,87.967,23.433
Álvares Machado,20.157,67.811,90.281,193.272,371.522,48.406,419.928,17.792
Álvaro de Carvalho,9.214,2.979,18.207,15.550,45.949,1.240,47.190,9.744
Alvinlândia,8.288,3.255,15.059,14.917,41.519,887,42.406,13.710
Americana,9.687,2.200.871,930.307,5.209.176,8.350.041,1.532.035,9.882.075,44.282
Américo Brasiliense,14.382,243.290,129.665,301.163,688.501,71.081,759.582,20.257
Américo de Campos,24.048,3.613,24.644,30.090,82.395,2.328,84.724,14.783
Amparo,105.327,994.680,274.976,1.308.566,2.683.549,553.983,3.237.533,47.668
