MUNICIPIO,AGROPECUARIA,INDUSTRIA,ADM PUBLICA,SUBTOTAL,TOTAL,IMPOSTOS,PIB,PIB CAPITA
Adamantina,31.928,124.684,103.106,366.925,626.643,57.047,  683.689 ,20.221
Adolfo,31.223,5.500,13.293,16.716,66.731,1.683,  68.414 ,19.288
Aguaí,86.505,178.922,81.399,185.047,531.873,41.829,  573.702 ,17.672
Águas da Prata,10.276,16.159,20.844,37.629,84.909,4.352,  89.260 ,11.739
Águas de Lindóia,4.465,21.355,48.974,174.704,249.498,18.091,  267.589 ,15.402
Águas de Santa Bárbara,32.724,22.817,20.182,51.406,127.129,12.004,  139.132 ,24.704
Águas de São Pedro,0,5.482,13.898,47.960,67.340,4.089,  71.429 ,26.041
Agudos,83.040,832.121,96.428,387.839,1.399.429,343.199,  1.742.627 ,50.252
Alambari,28.522,3.920,14.355,12.648,59.445,1.940,  61.385 ,12.371
Alfredo Marcondes,4.345,8.963,11.919,12.156,37.382,1.598,  38.980 ,10.008
Altair,52.802,5.148,12.690,14.517,85.156,1.583,  86.739 ,22.612
Altinópolis,74.675,15.781,42.643,116.766,249.864,13.851,  263.716 ,16.908
Alto Alegre,29.496,4.140,13.854,17.680,65.170,1.842,  67.012 ,16.360
Alumínio,2.342,932.141,71.535,303.708,1.309.726,410.544,  1.720.269 ,101.545
Álvares Florence,18.096,47.772,12.066,16.233,94.167,1.738,  95.906 ,24.782
Álvares Machado,12.597,57.207,60.824,112.916,243.544,28.869,  272.413 ,11.580
Álvaro de Carvalho,15.333,2.238,12.231,10.561,40.364,421,  40.786 ,8.707
Alvinlândia,6.884,2.061,10.250,9.870,29.066,582,  29.648 ,9.824
Americana,7.595,2.692.820,670.142,3.853.609,7.224.166,1.392.344,  8.616.510 ,40.476
Américo Brasiliense,16.112,156.107,88.044,190.560,450.822,51.302,  502.124 ,14.340
Américo de Campos,21.595,2.517,15.913,20.501,60.526,1.943,  62.469 ,10.940
Amparo,93.670,1.187.173,191.872,980.130,2.452.845,407.245,  2.860.091 ,43.201
Analândia,16.774,40.479,17.850,30.770,105.874,2.724,  108.598 ,24.988
Andradina,129.438,698.558,148.313,613.933,1.590.241,141.247,  1.731.488 ,31.242
Angatuba,78.255,330.830,57.109,159.202,625.397,58.649,  684.045 ,30.519
Anhembi,30.327,13.964,21.171,18.563,84.024,5.105,  89.130 ,15.514
Anhumas,11.572,3.745,11.329,9.240,35.886,958,  36.845 ,9.804
Aparecida,670,71.609,97.852,385.722,555.853,35.168,  591.021 ,16.849
Aparecida d'Oeste,11.099,13.455,12.184,19.970,56.709,3.513,  60.221 ,13.628
Apiaí,75.064,157.002,61.998,135.910,429.973,32.420,  462.393 ,18.418
