MUNICIPIO,AGROPECUARIA,INDUSTRIA,ADM PUBLICA,SUBTOTAL,TOTAL,IMPOSTOS,PIB,PIB CAPITA
Adamantina,22.636,66.539,51.278,167.569,308.021,28.577,336.599,9.984
Adolfo,16.197,3.887,6.166,8.184,34.435,1.006,35.441,9.697
Aguaí,119.013,100.987,36.227,106.173,362.400,21.242,383.642,12.875
Águas da Prata,4.270,4.680,9.913,19.751,38.614,2.409,41.024,5.622
Águas de Lindóia,2.789,10.779,23.535,77.715,114.818,9.176,123.994,7.488
Águas de Santa Bárbara,17.149,5.110,9.004,15.074,46.336,2.500,48.836,9.052
Águas de São Pedro,0,4.381,6.060,29.371,39.812,2.241,42.053,19.020
Agudos,36.954,253.096,43.349,128.962,462.361,132.389,594.750,17.813
Alambari,18.258,1.165,5.650,5.099,30.172,785,30.957,7.483
Alfredo Marcondes,3.200,3.044,4.884,7.020,18.148,844,18.991,5.008
Altair,29.112,2.508,5.844,8.263,45.726,494,46.220,12.729
Altinópolis,54.278,6.410,20.203,57.168,138.059,6.228,144.287,9.215
Alto Alegre,19.284,6.749,6.162,9.603,41.797,1.147,42.944,10.217
Alumínio,2.969,574.812,31.332,158.427,767.539,287.674,1.055.213,66.112
Álvares Florence,10.136,31.823,5.381,11.728,59.067,1.547,60.614,14.525
Álvares Machado,9.527,28.728,28.805,50.998,118.058,13.068,131.126,5.670
Álvaro de Carvalho,4.624,1.110,5.616,4.239,15.588,494,16.082,3.723
Alvinlândia,3.817,1.003,4.612,5.449,14.881,449,15.330,5.294
Americana,3.939,1.714.139,302.699,1.463.521,3.484.296,825.895,4.310.191,22.226
Américo Brasiliense,17.003,51.859,38.234,71.339,178.435,16.588,195.023,6.369
Américo de Campos,6.429,2.667,7.387,12.792,29.275,2.054,31.329,5.539
Amparo,52.043,451.019,90.882,363.388,957.333,168.558,1.125.891,17.950
Analândia,15.652,18.588,7.523,13.954,55.717,2.132,57.849,15.026
Andradina,56.164,269.450,74.104,272.821,672.540,57.139,729.679,13.171
Angatuba,58.225,62.272,24.213,57.200,201.909,14.972,216.881,10.552
Anhembi,33.229,4.746,7.374,10.049,55.398,5.394,60.791,12.279
Anhumas,8.284,2.206,4.355,4.494,19.339,685,20.023,5.656
Aparecida,588,22.114,43.853,161.359,227.914,17.163,245.077,7.031
Aparecida d'Oeste,8.012,1.562,5.967,8.581,24.122,925,25.048,5.250
Apiaí,48.404,33.824,31.325,47.342,160.895,10.936,171.831,6.448
Araçariguama,1.082,126.477,21.203,84.471,233.233,79.667,312.901,23.332
Araçatuba,50.623,292.031,231.725,1.050.743,1.625.123,208.704,1.833.827,10.507
Araçoiaba da Serra,9.919,15.977,28.773,60.595,115.264,12.208,127.472,5.599
Aramina,15.323,5.222,7.039,14.148,41.732,2.710,44.442,9.059
Arandu,14.190,2.420,9.230,8.155,33.995,939,34.934,5.680
Arapeí,1.053,496,5.013,2.816,9.378,313,9.691,3.771
Araraquara,86.642,651.995,259.708,1.219.936,2.218.282,305.452,2.523.734,13.102
Araras,58.045,574.379,149.327,665.966,1.447.717,185.872,1.633.589,14.874
Arco-Íris,12.317,3.367,3.577,4.247,23.509,602,24.111,11.592
Arealva,14.635,5.071,9.582,15.141,44.430,2.273,46.703,6.227
Areias,2.674,744,6.110,3.860,13.388,393,13.782,3.773
Areiópolis,12.454,6.034,13.371,14.638,46.497,1.502,47.999,4.582
Ariranha,14.122,52.946,12.100,31.930,111.097,18.595,129.692,16.425
Artur Nogueira,38.192,49.033,47.138,105.621,239.984,23.866,263.850,7.030
Arujá,6.471,342.115,83.918,239.993,672.497,124.354,796.851,12.185
Aspásia,3.724,670,2.893,1.961,9.248,223,9.471,5.103
Assis,20.759,109.938,116.440,552.792,799.928,101.214,901.143,9.962
Atibaia,56.068,323.122,167.078,649.137,1.195.405,235.141,1.430.546,12.146
Auriflama,9.165,15.198,17.051,39.213,80.626,5.450,86.077,6.212
Avaí,48.706,5.556,6.740,12.952,73.954,1.246,75.200,15.848
Avanhandava,27.516,11.013,12.320,18.397,69.245,6.704,75.949,7.743
