MUNICIPIO,AGROPECUARIA,INDUSTRIA,ADM PUBLICA,SUBTOTAL,TOTAL,IMPOSTOS,PIB,PIB CAPITA
Adamantina,28.684,97.581,84.287,264.939,475.491,45.619,  521.110 ,15.426
Adolfo,22.852,7.986,11.059,14.581,56.478,2.336,  58.814 ,16.319
Aguaí,121.372,165.819,63.883,139.491,490.565,35.452,  526.017 ,16.770
Águas da Prata,4.022,7.444,16.114,28.820,56.401,3.767,  60.167 ,8.045
Águas de Lindóia,2.331,13.147,36.826,112.442,164.746,12.008,  176.754 ,10.342
Águas de Santa Bárbara,16.266,6.380,15.930,22.450,61.026,4.090,  65.116 ,11.728
Águas de São Pedro,0,3.826,11.071,36.854,51.751,3.574,  55.325 ,21.894
Agudos,51.630,408.237,73.054,213.355,746.277,200.568,  946.846 ,27.704
Alambari,22.944,3.781,10.580,8.731,46.036,1.439,  47.475 ,10.276
Alfredo Marcondes,3.888,5.470,9.746,9.375,28.480,1.427,  29.907 ,7.720
Altair,33.970,2.635,10.228,11.333,58.166,901,  59.067 ,15.718
Altinópolis,107.574,9.679,31.479,88.376,237.108,9.617,  246.725 ,15.740
Alto Alegre,18.634,11.041,10.898,14.519,55.092,2.093,  57.185 ,13.850
Alumínio,4.151,643.854,63.276,252.004,963.285,552.445,  1.515.730 ,91.590
Álvares Florence,14.980,31.515,9.816,14.013,70.323,2.226,  72.549 ,18.165
Álvares Machado,9.195,42.433,48.513,74.902,175.043,20.470,  195.513 ,8.330
Álvaro de Carvalho,7.245,1.189,10.238,7.769,26.442,1.009,  27.451 ,6.036
Alvinlândia,4.243,1.305,8.025,7.350,20.923,841,  21.764 ,7.383
Americana,5.321,1.984.560,504.210,2.344.127,4.838.219,1.042.646,  5.880.865 ,28.674
Américo Brasiliense,11.186,79.087,72.530,124.654,287.457,40.543,  328.000 ,9.901
Américo de Campos,8.337,2.484,12.865,13.975,37.660,1.791,  39.452 ,6.952
Amparo,102.246,801.845,155.860,604.705,1.664.656,274.874,  1.939.530 ,29.951
Analândia,24.682,35.066,15.693,24.733,100.175,4.261,  104.435 ,25.159
Andradina,65.517,418.948,116.379,434.377,1.035.219,96.190,  1.131.409 ,20.438
Angatuba,61.393,106.028,47.353,85.379,300.152,30.205,  330.357 ,15.276
Anhembi,34.296,12.843,15.774,17.031,79.944,11.932,  91.876 ,16.964
Anhumas,20.423,4.797,8.978,9.672,43.870,1.108,  44.978 ,12.236
Aparecida,722,48.908,77.291,267.559,394.480,26.639,  421.118 ,12.041
Aparecida d'Oeste,8.980,2.855,10.003,11.732,33.571,1.309,  34.880 ,7.651
Apiaí,71.196,35.774,50.520,73.920,231.411,14.496,  245.907 ,9.542
Araçariguama,1.041,447.809,43.081,253.334,745.264,204.471,  949.736 ,59.848
Araçatuba,84.797,470.517,377.382,1.755.148,2.687.844,353.485,  3.041.329 ,16.973
Araçoiaba da Serra,10.856,22.163,52.415,91.676,177.110,18.541,  195.652 ,7.603
Aramina,23.413,5.906,13.984,27.245,70.547,4.367,  74.914 ,14.846
Arandu,13.920,4.803,14.536,12.346,45.604,1.390,  46.994 ,7.633
Arapeí,1.555,762,8.671,3.943,14.930,594,  15.524 ,6.158
Araraquara,69.396,1.031.450,462.218,2.054.434,3.617.499,543.229,  4.160.728 ,20.483
Araras,56.911,888.292,259.394,1.118.763,2.323.361,355.387,  2.678.748 ,23.160
Arco-Íris,12.938,5.371,6.412,6.100,30.821,1.140,  31.961 ,16.061
Arealva,67.646,6.867,17.369,34.618,126.501,3.586,  130.087 ,16.857
Areias,3.510,466,10.715,5.524,20.216,880,  21.096 ,5.715
Areiópolis,11.627,7.700,23.768,22.731,65.826,2.424,  68.250 ,6.472
Ariranha,14.525,97.147,24.030,81.001,216.703,60.972,  277.675 ,33.342
Artur Nogueira,45.603,102.357,82.571,169.135,399.667,44.574,  444.241 ,10.600
Arujá,7.515,603.483,157.111,486.007,1.254.116,249.684,  1.503.801 ,20.986
Aspásia,3.513,1.186,5.132,2.876,12.707,431,  13.138 ,7.211
Assis,30.299,132.271,199.638,724.231,1.086.439,126.000,  1.212.440 ,12.975
Atibaia,71.806,681.473,279.640,1.233.586,2.266.505,426.293,  2.692.798 ,21.789
Auriflama,12.951,29.485,30.085,57.431,129.952,9.818,  139.770 ,9.918
Avaí,52.007,10.551,13.363,21.661,97.582,4.271,  101.853 ,20.846
Avanhandava,29.475,25.617,25.920,37.908,118.920,7.959,  126.880 ,11.749
Avaré,72.095,162.551,161.431,459.155,855.232,83.845,  939.077 ,11.507
Bady Bassitt,12.096,37.979,27.754,58.829,136.657,15.251,  151.908 ,10.893
Balbinos,1.283,1.920,9.355,3.574,16.132,828,  16.961 ,5.284
Bálsamo,21.554,25.669,17.253,32.847,97.323,8.904,  106.227 ,13.300
Bananal,5.085,27.715,25.537,32.463,90.801,6.901,  97.702 ,9.615
