MUNICIPIO,AGROPECUARIA,INDUSTRIA,ADM PUBLICA,SUBTOTAL,TOTAL,IMPOSTOS,PIB,PIB CAPITA
Jambeiro,9.278,48.434,6.620,16.917,81.249,10.744,91.993,20.794
Jandira,86,338.887,112.745,302.004,753.723,213.464,967.187,9.975
Jardinópolis,58.095,46.662,42.875,113.065,260.697,30.504,291.201,8.902
Jarinu,12.013,21.268,25.113,83.560,141.954,25.087,167.041,8.789
Jaú,57.630,235.688,132.954,626.152,1.052.424,134.950,1.187.375,10.087
Jeriquara,13.686,3.304,5.270,6.450,28.709,1.107,29.816,9.126
Joanópolis,10.712,8.355,13.299,23.590,55.956,3.509,59.465,5.498
João Ramalho,27.110,3.708,6.191,9.382,46.392,1.962,48.354,12.335
José Bonifácio,34.865,143.463,33.392,108.574,320.295,33.154,353.449,11.784
Júlio Mesquita,2.920,571,5.345,6.620,15.455,620,16.075,3.746
Jumirim,5.035,8.273,3.820,4.424,21.552,2.495,24.047,10.142
Jundiaí,31.303,2.592.205,472.942,3.814.772,6.911.222,1.769.370,8.680.592,25.717
Junqueirópolis,17.584,15.026,18.599,45.825,97.035,7.051,104.086,5.932
Juquiá,26.088,8.173,21.635,34.440,90.335,4.029,94.364,4.643
Juquitiba,947,22.930,35.246,114.413,173.537,37.977,211.514,7.735
Lagoinha,4.182,2.270,6.974,6.297,19.723,774,20.496,4.163
Laranjal Paulista,22.447,92.526,28.925,80.649,224.548,39.066,263.613,11.429
Lavínia,19.285,4.542,7.102,11.395,42.324,1.872,44.196,7.096
Lavrinhas,1.892,11.478,8.211,10.859,32.440,4.028,36.468,5.913
Leme,66.890,114.905,92.036,297.504,571.335,81.248,652.584,7.762
Lençóis Paulista,93.959,226.020,71.868,248.125,639.972,87.829,727.801,12.747
Limeira,63.335,1.443.234,293.041,1.380.175,3.179.784,481.650,3.661.435,14.235
Lindóia,1.887,8.599,7.414,16.621,34.521,3.641,38.163,6.671
Lins,37.244,311.857,72.441,359.698,781.239,85.845,867.084,12.795
Lorena,6.065,249.387,80.083,296.727,632.261,93.392,725.654,9.139
Lourdes,6.887,2.032,3.596,3.173,15.688,404,16.091,7.888
Louveira,13.131,332.434,40.591,544.110,930.266,329.739,1.260.005,45.772
Lucélia,18.176,9.506,21.901,58.203,107.786,8.798,116.585,6.187
Lucianópolis,5.846,1.525,3.331,4.128,14.830,495,15.326,6.966
Luís Antônio,48.153,349.778,19.585,113.971,531.487,62.368,593.855,71.078
Luiziânia,8.176,3.041,5.418,6.350,22.986,765,23.751,5.302
Lupércio,5.816,1.641,5.635,5.132,18.223,532,18.756,4.384
Lutécia,12.174,2.157,4.544,5.600,24.475,878,25.352,8.918
Macatuba,28.272,15.832,20.493,38.965,103.562,4.154,107.716,6.749
Macaubal,10.800,3.003,7.993,15.893,37.688,2.258,39.946,5.369
Macedônia,12.990,4.825,5.470,5.982,29.267,980,30.246,8.074
Magda,7.365,2.630,4.928,7.007,21.931,1.284,23.215,6.913
Mairinque,7.554,408.059,54.359,202.464,672.435,149.341,821.776,20.075
Mairiporã,163,112.036,82.605,204.780,399.585,65.199,464.783,7.017
Manduri,8.545,7.044,10.020,17.276,42.884,3.492,46.376,5.468
Marabá Paulista,17.137,4.827,5.548,7.364,34.875,1.167,36.042,8.915
Maracaí,58.124,16.700,16.034,50.039,140.897,99.373,240.270,18.323
Marapoama,14.601,3.622,3.489,6.882,28.594,1.285,29.879,12.688
Mariápolis,4.624,978,4.916,4.247,14.765,381,15.146,3.908
Marília,40.747,426.858,254.330,1.129.869,1.851.806,256.653,2.108.459,10.361
Marinópolis,6.449,551,3.920,3.045,13.965,240,14.205,6.483
Martinópolis,37.317,23.620,27.953,53.743,142.634,10.069,152.703,6.657
Matão,81.645,635.575,87.216,440.753,1.245.189,170.940,1.416.129,19.272
Mauá,373,1.903.793,410.623,1.471.599,3.786.388,847.296,4.633.684,12.177
Mendonça,7.282,1.940,5.582,8.066,22.869,902,23.771,5.897
Meridiano,9.015,3.558,5.828,17.173,35.575,4.123,39.698,9.922
Mesópolis,6.481,467,3.344,2.486,12.778,219,12.997,6.724
Miguelópolis,70.949,122.053,30.219,70.048,293.269,11.104,304.373,15.640
Mineiros do Tietê,17.237,12.362,13.961,20.911,64.471,3.086,67.556,5.810
Mira Estrela,5.285,1.477,4.352,5.858,16.972,880,17.852,6.659
Miracatu,37.222,6.157,27.680,53.987,125.046,8.152,133.198,6.054
Mirandópolis,43.081,10.929,28.380,72.036,154.425,10.477,164.903,6.249
Mirante do Paranapanema,20.099,5.364,18.068,22.368,65.899,3.902,69.801,4.227
Mirassol,9.931,120.608,59.129,173.105,362.773,45.678,408.450,8.176
Mirassolândia,14.653,2.685,5.414,5.681,28.433,715,29.148,7.487
Mococa,77.193,159.902,74.601,244.108,555.805,57.988,613.793,9.290
