MUNICIPIO,AGROPECUARIA,INDUSTRIA,ADM PUBLICA,SUBTOTAL,TOTAL,IMPOSTOS,PIB,PIB CAPITA
Adamantina,36.676,110.761,134.512,517.362,799.311,63.578,862.889,25.483
Adolfo,28.804,5.854,19.511,21.191,75.360,1.488,76.848,21.882
Aguaí,76.152,223.947,110.717,288.675,699.491,70.563,770.055,22.958
Águas da Prata,10.992,17.706,28.359,65.634,122.691,8.755,131.446,17.124
Águas de Lindóia,5.800,30.371,67.979,243.658,347.806,24.921,372.727,21.021
Águas de Santa Bárbara,27.083,10.273,29.010,53.316,119.681,7.187,126.869,22.126
Águas de São Pedro,0,8.559,17.249,87.172,112.979,6.797,119.776,41.589
Agudos,54.751,930.830,134.136,570.600,1.690.317,416.536,2.106.853,59.855
Alambari,20.634,4.731,20.251,19.973,65.588,5.717,71.305,13.597
Alfredo Marcondes,4.922,15.268,16.155,22.529,58.874,14.789,73.664,18.840
Altair,54.357,4.999,17.299,19.539,96.194,1.715,97.910,25.060
Altinópolis,118.795,20.854,58.258,178.381,376.288,15.730,392.018,25.176
Alto Alegre,33.017,9.153,18.267,27.719,88.155,3.415,91.570,22.477
Alumínio,809,761.835,73.244,370.477,1.206.364,322.452,1.528.816,88.391
Álvares Florence,34.016,10.734,18.032,21.921,84.704,1.832,86.535,22.875
Álvares Machado,24.781,67.887,81.503,180.684,354.855,45.366,400.221,16.971
Álvaro de Carvalho,4.202,2.218,17.769,14.268,38.458,1.247,39.705,8.267
Alvinlândia,9.532,2.758,13.705,14.398,40.392,790,41.182,13.397
Americana,10.508,2.580.238,938.844,5.277.667,8.807.257,1.497.978,10.305.235,46.726
Américo Brasiliense,19.342,209.993,118.718,281.649,629.701,68.292,697.994,18.936
Américo de Campos,27.051,3.514,23.265,30.157,83.986,2.001,85.987,15.017
Amparo,100.018,1.296.531,260.681,1.241.237,2.898.467,529.346,3.427.814,50.793
Analândia,22.647,44.412,23.577,41.433,132.068,3.265,135.334,29.875
