MUNICIPIO,AGROPECUARIA,INDUSTRIA,ADM PUBLICA,SUBTOTAL,TOTAL,IMPOSTOS,PIB,PIB CAPITA
Adamantina,41.846,129.807,151.041,584.588,907.283,72.693,  979.976 ,28.923
Adolfo,29.063,7.849,21.010,30.747,88.669,3.088,  91.756 ,26.291
Aguaí,115.538,255.531,117.795,322.988,811.853,83.779,  895.632 ,26.156
Águas da Prata,17.027,17.035,30.940,63.477,128.478,8.157,  136.636 ,17.699
Águas de Lindóia,5.835,38.547,79.099,286.443,409.925,30.431,  440.355 ,24.527
Águas de Santa Bárbara,43.725,11.839,31.965,57.179,144.709,7.859,  152.567 ,26.300
Águas de São Pedro,0,8.376,20.201,85.425,114.002,6.015,  120.017 ,40.464
Agudos,59.124,760.901,160.143,630.839,1.611.007,321.762,  1.932.769 ,54.406
Alambari,29.980,7.543,23.090,27.500,88.113,3.925,  92.039 ,16.963
Alfredo Marcondes,6.310,16.771,18.126,26.121,67.328,10.598,  77.926 ,19.884
Altair,137.925,8.455,19.522,33.669,199.571,4.040,  203.611 ,51.534
Altinópolis,155.438,20.886,63.545,200.649,440.517,18.060,  458.578 ,29.472
Alto Alegre,39.194,5.735,20.856,30.141,95.926,4.844,  100.770 ,24.839
Alumínio,1.818,902.238,86.350,371.410,1.361.816,507.956,  1.869.772 ,106.692
Álvares Florence,45.237,3.726,19.079,24.384,92.426,2.002,  94.428 ,25.336
Álvares Machado,24.514,84.329,91.411,218.104,418.358,57.183,  475.541 ,20.117
Álvaro de Carvalho,10.978,2.639,17.835,15.595,47.048,1.274,  48.322 ,9.896
Alvinlândia,10.164,3.415,16.015,15.223,44.818,758,  45.576 ,14.659
Americana,10.812,2.596.052,920.625,5.469.639,8.997.128,1.438.310,  10.435.437 ,46.342
Américo Brasiliense,19.834,262.028,133.049,332.030,746.940,80.839,  827.779 ,21.766
Américo de Campos,35.472,4.092,23.936,34.761,98.261,2.714,  100.975 ,17.616
Amparo,111.430,1.590.508,278.855,1.469.835,3.450.629,626.348,  4.076.977 ,59.727
Analândia,28.508,42.767,25.938,45.168,142.381,4.228,  146.610 ,31.577
Andradina,119.706,678.871,216.837,982.641,1.998.055,203.954,  2.202.009 ,39.441
Angatuba,154.073,303.964,93.185,339.005,890.227,74.225,  964.451 ,40.891
Anhembi,47.709,18.647,29.400,33.871,129.627,3.741,  133.368 ,21.274
Anhumas,24.602,5.225,18.386,19.579,67.792,2.124,  69.916 ,18.033
Aparecida,1.863,66.839,142.782,753.860,965.344,56.702,  1.022.046 ,28.845
Aparecida d'Oeste,27.402,20.640,18.317,32.243,98.602,4.935,  103.537 ,24.344
Apiaí,159.387,129.590,88.946,216.189,594.113,40.656,  634.769 ,25.704
Araçariguama,1.213,724.884,104.101,1.012.412,1.842.611,378.413,  2.221.023 ,113.940
Araçatuba,97.279,1.109.397,653.108,4.182.358,6.042.142,567.120,  6.609.261 ,35.285
Araçoiaba da Serra,22.561,108.621,116.711,288.470,536.362,63.862,  600.224 ,19.752
Aramina,25.762,4.454,23.297,48.407,101.920,7.949,  109.869 ,20.456
Arandu,59.460,7.820,27.450,35.621,130.350,3.426,  133.775 ,21.773
Arapeí,1.886,1.381,13.302,9.715,26.283,1.318,  27.602 ,11.170
Araraquara,108.788,1.644.124,903.142,5.219.036,7.875.090,1.137.840,  9.012.930 ,40.745
Araras,102.006,1.423.242,491.478,2.428.525,4.445.251,569.420,  5.014.671 ,39.692
Arco-Íris,27.372,3.463,11.671,9.312,51.818,1.237,  53.055 ,28.694
Arealva,50.716,13.630,32.252,70.234,166.831,7.574,  174.406 ,21.638
Areias,6.323,1.090,17.926,12.582,37.921,1.799,  39.720 ,10.530
Areiópolis,21.727,11.804,40.408,48.458,122.398,4.055,  126.453 ,11.797
Ariranha,27.475,195.400,41.623,304.774,569.272,84.027,  653.299 ,72.388
Artur Nogueira,123.867,184.410,169.676,469.602,947.554,96.725,  1.044.279 ,21.046
Arujá,29.299,814.982,329.629,2.948.492,4.122.402,707.080,  4.829.482 ,57.597
Aspásia,10.682,1.626,10.687,8.147,31.142,805,  31.947 ,17.928
Assis,55.430,461.850,355.474,1.882.040,2.754.794,311.096,  3.065.889 ,30.968
Atibaia,189.580,1.280.528,535.574,2.760.309,4.765.991,817.479,  5.583.470 ,41.466
Auriflama,24.665,39.426,56.721,152.931,273.743,17.025,  290.768 ,20.210
Avaí,181.154,10.216,24.909,56.433,272.713,8.445,  281.158 ,54.509
Avanhandava,44.788,41.535,49.325,81.230,216.878,12.913,  229.791 ,19.495
Avaré,131.472,452.392,358.050,1.397.947,2.339.862,206.452,  2.546.314 ,29.674
Bady Bassitt,14.946,53.143,66.187,163.870,298.146,25.144,  323.290 ,20.526
Balbinos,10.348,4.724,19.861,10.166,45.099,1.514,  46.613 ,12.615
Bálsamo,27.671,20.560,31.749,94.238,174.218,14.788,  189.006 ,22.509
Bananal,9.763,43.421,42.269,84.148,179.601,13.900,  193.501 ,18.485
Barão de Antonina,9.219,2.972,16.042,45.847,74.080,5.975,  80.054 ,24.452
Barbosa,20.942,9.013,27.274,46.309,103.538,5.656,  109.194 ,15.595
Bariri,67.533,247.907,124.583,514.104,954.127,104.493,  1.058.620 ,31.989
Barra Bonita,20.635,357.651,136.114,663.604,1.178.005,139.263,  1.317.267 ,37.605
Barra do Chapéu,40.079,3.525,20.211,18.557,82.371,1.479,  83.850 ,15.502
