MUNICIPIO,AGROPECUARIA,INDUSTRIA,ADM PUBLICA,SUBTOTAL,TOTAL,IMPOSTOS,PIB,PIB CAPITA
Adamantina,38.490,114.028,106.391,421.933,680.842,62.842,743.684,21.984
Adolfo,16.181,4.353,14.408,16.632,51.575,1.625,53.200,15.050
Aguaí,54.782,173.551,88.197,207.959,524.488,43.702,568.190,17.312
Águas da Prata,11.049,16.704,22.590,45.737,96.079,5.091,101.170,13.263
Águas de Lindóia,4.325,22.206,55.258,177.972,259.761,19.695,279.456,15.975
Águas de Santa Bárbara,16.919,8.214,23.223,41.197,89.553,6.040,95.593,16.874
Águas de São Pedro,0,5.439,16.364,55.848,77.651,4.232,81.883,29.370
Agudos,76.960,905.767,110.002,449.326,1.542.055,386.485,1.928.539,55.337
Alambari,23.391,4.322,16.251,14.267,58.231,2.274,60.505,11.972
Alfredo Marcondes,4.258,13.929,12.991,15.905,47.084,6.209,53.293,13.665
Altair,44.578,5.205,22.755,18.336,90.874,1.760,92.633,23.998
Altinópolis,63.219,18.230,46.632,135.738,263.819,16.828,280.647,18.004
Alto Alegre,38.553,4.343,14.728,20.611,78.236,1.917,80.153,19.607
Alumínio,1.887,796.846,69.446,307.985,1.176.163,483.710,1.659.873,97.302
Álvares Florence,24.804,49.413,14.804,20.819,109.840,1.990,111.830,29.115
Álvares Machado,14.910,67.290,67.406,130.823,280.429,33.718,314.146,13.343
Álvaro de Carvalho,9.706,2.077,13.506,11.690,36.979,655,37.634,7.968
Alvinlândia,7.693,2.366,11.967,11.763,33.789,782,34.571,11.387
Americana,6.433,2.444.914,699.558,4.173.424,7.324.330,1.433.754,8.758.084,40.658
Américo Brasiliense,23.587,170.232,93.379,197.614,484.812,54.049,538.861,15.128
Américo de Campos,18.399,2.623,17.738,22.483,61.242,1.830,63.072,11.034
Amparo,96.243,1.193.970,208.715,1.057.148,2.556.076,458.032,3.014.109,45.237
Analândia,17.800,38.265,19.204,32.757,108.026,2.778,110.803,25.143
Andradina,98.126,753.879,155.717,699.296,1.707.018,154.960,1.861.978,33.543
Angatuba,65.794,262.755,64.730,168.614,561.893,62.814,624.707,27.583
Anhembi,37.193,14.640,23.356,22.192,97.382,5.431,102.813,17.578
Anhumas,22.641,4.864,12.279,12.108,51.891,1.141,53.033,14.019
Aparecida,1.227,63.317,117.049,444.534,626.128,40.873,667.001,18.977
Aparecida d'Oeste,9.601,13.785,13.130,20.907,57.423,3.446,60.869,13.881
Apiaí,73.357,156.547,66.340,149.483,445.728,43.276,489.004,19.557
Araçariguama,674,576.425,70.500,378.235,1.025.833,282.403,1.308.236,73.344
Araçatuba,100.439,993.764,504.299,3.221.080,4.819.582,603.473,5.423.055,29.557
Araçoiaba da Serra,19.138,89.216,76.910,185.605,370.868,43.309,414.178,14.652
