MUNICIPIO,AGROPECUARIA,INDUSTRIA,ADM PUBLICA,SUBTOTAL,TOTAL,IMPOSTOS,PIB,PIB CAPITA
Adamantina,33.607,113.295,92.452,346.462,585.815,53.276,639.091,18.911
Adolfo,28.373,4.664,12.028,14.772,59.836,1.223,61.059,17.161
Aguaí,99.674,169.115,76.377,165.908,511.074,38.101,549.175,17.101
Águas da Prata,3.662,16.864,19.144,51.139,90.809,6.156,96.964,12.792
Águas de Lindóia,3.828,13.474,43.535,157.506,218.343,15.341,233.684,13.541
Águas de Santa Bárbara,42.438,17.847,19.071,43.953,123.308,8.947,132.255,23.625
Águas de São Pedro,0,6.470,12.354,46.735,65.560,3.792,69.352,25.695
Agudos,50.894,868.482,86.682,382.244,1.388.302,347.969,1.736.271,50.318
Alambari,32.098,4.101,12.680,11.120,59.998,1.604,61.603,12.644
Alfredo Marcondes,4.627,8.299,10.980,11.384,35.290,1.405,36.694,9.435
Altair,43.872,4.716,12.038,12.811,73.437,1.464,74.902,19.644
Altinópolis,87.404,12.449,38.980,105.279,244.112,11.210,255.322,16.361
Alto Alegre,26.864,3.329,12.333,15.075,57.601,1.455,59.056,14.393
Alumínio,2.783,797.545,62.310,272.525,1.135.163,431.373,1.566.535,93.108
Álvares Florence,16.883,48.476,10.601,15.154,91.114,1.864,92.978,23.840
Álvares Machado,10.462,47.665,56.025,97.929,212.082,24.484,236.566,10.064
Álvaro de Carvalho,7.867,1.806,11.096,9.117,29.886,235,30.121,6.485
Alvinlândia,11.550,1.856,9.325,9.053,31.783,-538,31.246,10.419
Americana,8.410,2.271.238,579.753,3.158.061,6.017.461,1.218.629,7.236.090,34.394
Américo Brasiliense,17.906,148.670,79.748,166.430,412.753,46.621,459.375,13.346
Américo de Campos,18.265,2.553,14.840,18.728,54.385,1.896,56.280,9.865
Amparo,103.478,1.004.041,177.006,821.444,2.105.968,359.248,2.465.216,37.476
Analândia,20.898,32.588,16.693,25.925,96.105,2.084,98.188,22.904
Andradina,79.395,566.750,129.860,528.180,1.304.185,117.941,1.422.126,25.701
Angatuba,69.101,238.803,52.171,132.325,492.400,48.794,541.194,24.396
Anhembi,41.300,11.662,18.501,16.868,88.331,4.484,92.814,16.448
Anhumas,16.444,3.757,10.550,8.977,39.728,950,40.678,10.891
Aparecida,2.750,68.300,90.444,305.048,466.542,29.520,496.062,14.171
Aparecida d'Oeste,11.658,11.504,11.312,17.410,51.884,3.093,54.977,12.343
Apiaí,87.696,136.288,56.659,116.000,396.642,26.730,423.373,16.796
Araçariguama,697,452.041,57.515,318.272,828.525,228.276,1.056.801,62.095
Araçatuba,119.206,775.116,431.548,2.334.183,3.660.054,471.947,4.132.001,22.769
Araçoiaba da Serra,15.766,75.129,62.328,132.234,285.456,30.186,315.643,11.593
Aramina,23.560,4.102,15.465,26.257,69.384,3.768,73.152,14.207
Arandu,30.703,5.727,17.058,15.227,68.714,1.176,69.890,11.414
Arapeí,2.287,1.047,9.577,5.550,18.461,4.182,22.643,9.079
Araraquara,110.716,1.430.350,553.050,2.723.237,4.817.354,657.083,5.474.437,26.265
Araras,79.790,1.017.139,295.073,1.396.692,2.788.694,422.931,3.211.625,27.054
Arco-Íris,15.632,1.913,7.021,4.572,29.138,530,29.668,15.396
Arealva,52.115,9.784,20.629,37.751,120.279,4.288,124.566,15.897
Areias,3.980,712,11.805,5.598,22.096,1.073,23.169,6.270
Areiópolis,12.728,6.092,26.546,22.914,68.280,2.699,70.980,6.711
Ariranha,21.812,151.665,25.053,122.752,321.282,117.873,439.155,51.441
Artur Nogueira,48.265,134.569,104.024,230.080,516.938,55.443,572.380,12.988
Arujá,9.527,740.717,181.380,707.666,1.639.291,349.186,1.988.477,26.599
Aspásia,4.707,887,5.935,3.151,14.680,292,14.973,8.277
Assis,34.686,293.427,231.035,947.114,1.506.262,160.605,1.666.867,17.532
Atibaia,87.746,941.137,326.318,1.751.104,3.106.304,603.423,3.709.727,29.334
Auriflama,13.726,38.544,32.912,72.270,157.452,11.602,169.054,11.909
Avaí,68.634,5.921,14.988,22.369,111.912,3.485,115.397,23.284
Avanhandava,46.674,22.847,28.375,42.605,140.501,7.939,148.440,13.151
Avaré,83.654,166.446,209.601,664.157,1.123.858,113.854,1.237.712,14.934
Bady Bassitt,14.992,75.279,33.976,80.761,205.008,23.052,228.060,15.648
Balbinos,1.344,2.245,9.894,3.817,17.300,523,17.823,4.856
Bálsamo,29.055,17.921,19.852,38.116,104.944,7.689,112.633,13.815
Bananal,4.803,39.031,27.883,40.089,111.806,7.756,119.562,11.700
Barão de Antonina,3.632,1.119,9.487,10.848,25.085,370,25.454,8.177
Barbosa,20.051,3.119,16.422,21.761,61.353,2.646,63.999,9.717
Bariri,43.523,183.922,72.783,258.158,558.387,70.010,628.396,19.909
Barra Bonita,14.176,334.386,93.304,358.855,800.721,110.379,911.100,25.848
Barra do Chapéu,3.626,1.085,13.195,7.203,25.110,548,25.658,4.896
Barra do Turvo,3.433,2.674,24.326,17.804,48.236,4.063,52.299,6.764
Barretos,189.624,626.874,305.066,1.161.783,2.283.347,217.301,2.500.648,22.321
Barrinha,26.485,34.161,68.090,107.195,235.930,15.394,251.324,8.832
Barueri,136,3.864.854,990.116,17.269.770,22.124.876,7.893.828,30.018.704,124.839
Bastos,249.289,43.676,49.424,110.024,452.414,17.872,470.286,23.001
Batatais,146.313,278.048,138.595,491.576,1.054.531,99.176,1.153.707,20.445
Bauru,21.215,1.818.952,805.134,4.669.162,7.314.462,893.192,8.207.655,23.881
Bebedouro,101.288,272.163,186.767,740.931,1.301.149,145.802,1.446.951,19.284
Bento de Abreu,38.746,27.635,11.034,21.213,98.629,6.839,105.468,39.472
Bernardino de Campos,12.834,22.911,25.116,47.115,107.976,6.811,114.787,10.653
Bertioga,2.410,347.383,172.911,515.290,1.037.994,59.986,1.097.980,23.134
Bilac,31.796,5.365,17.877,35.907,90.944,2.997,93.941,13.346
Birigui,48.171,521.794,247.451,760.165,1.577.581,206.610,1.784.191,16.429
Biritiba-Mirim,128.504,20.485,60.377,99.554,308.920,10.938,319.858,11.207
Boa Esperança do Sul,20.351,10.420,35.921,48.921,115.613,6.538,122.151,8.958
Bocaina,27.473,65.854,30.496,74.980,198.803,19.620,218.423,20.139
Bofete,36.077,18.574,24.803,26.941,106.394,5.746,112.139,11.685
Boituva,23.208,611.325,124.221,540.259,1.299.012,271.121,1.570.133,32.591
Bom Jesus dos Perdões,6.102,72.787,49.681,89.608,218.179,31.795,249.973,12.725
Bom Sucesso de Itararé,2.887,10.498,10.646,7.383,31.414,2.673,34.087,9.554
Borá,10.544,24.984,4.795,14.253,54.576,5.949,60.525,75.186
Boracéia,14.193,105.866,13.371,19.206,152.637,6.373,159.010,37.300
Borborema,66.765,21.886,37.977,81.732,208.361,9.449,217.809,15.004
Borebi,16.120,2.104,10.061,9.270,37.555,960,38.515,16.819
Botucatu,112.289,1.059.448,282.603,1.218.795,2.673.135,339.618,3.012.753,23.693
Bragança Paulista,51.377,946.685,372.734,1.467.352,2.838.147,407.368,3.245.515,22.146
Braúna,13.777,5.742,14.218,17.271,51.007,1.733,52.740,10.516
Brejo Alegre,15.215,62.414,9.083,31.765,118.477,13.744,132.221,51.428
Brodowski,35.632,48.763,55.867,115.240,255.503,18.983,274.485,13.027
Brotas,62.045,83.052,57.208,166.280,368.585,37.508,406.093,18.839
Buri,73.123,17.985,49.688,63.515,204.312,-362,203.950,10.992
Buritama,33.560,188.661,40.976,84.921,348.118,12.648,360.766,23.420
Buritizal,25.340,3.969,14.992,39.108,83.409,4.276,87.685,21.651
Cabrália Paulista,66.244,7.179,11.316,12.962,97.701,2.691,100.391,22.989
Cabreúva,20.190,599.955,100.659,371.385,1.092.189,319.900,1.412.089,34.006
Caçapava,6.816,1.227.112,206.575,873.676,2.314.179,451.501,2.765.680,32.662
Cachoeira Paulista,7.705,31.234,65.483,183.660,288.082,18.937,307.019,10.211
Caconde,20.364,65.899,42.764,50.711,179.737,3.750,183.487,9.898
