MUNICIPIO,AGROPECUARIA,INDUSTRIA,ADM PUBLICA,SUBTOTAL,TOTAL,IMPOSTOS,PIB,PIB CAPITA
Adamantina,35.073,106.313,77.315,253.044,471.745,39.946,  511.691 ,15.143
Adolfo,20.875,8.199,9.739,14.210,53.023,2.425,  55.448 ,15.279
Aguaí,214.836,159.252,55.323,141.792,571.203,29.261,  600.465 ,19.374
Águas da Prata,4.763,11.128,14.014,23.780,53.685,2.872,  56.558 ,7.623
Águas de Lindóia,4.630,10.904,32.327,105.565,153.427,11.834,  165.261 ,9.733
Águas de Santa Bárbara,17.073,7.428,13.893,20.310,58.704,3.841,  62.545 ,11.355
Águas de São Pedro,0,3.866,9.560,34.494,47.920,3.072,  50.992 ,20.813
Agudos,65.949,425.431,65.451,219.791,776.621,199.812,  976.433 ,28.722
Alambari,28.085,2.453,8.852,7.367,46.758,1.153,  47.911 ,10.654
Alfredo Marcondes,3.820,3.810,7.721,8.567,23.918,1.292,  25.210 ,6.519
Altair,44.689,3.020,8.475,11.717,67.901,1.993,  69.894 ,18.779
Altinópolis,117.328,6.577,27.813,73.437,225.155,7.130,  232.285 ,14.814
Alto Alegre,24.356,10.061,9.419,14.063,57.900,1.743,  59.643 ,14.382
Alumínio,6.063,721.319,56.621,243.693,1.027.695,555.180,  1.582.875 ,96.429
Álvares Florence,14.670,25.390,8.978,12.071,61.110,1.906,  63.016 ,15.621
Álvares Machado,11.651,38.488,42.468,70.416,163.023,16.830,  179.853 ,7.677
Álvaro de Carvalho,6.488,1.198,9.090,6.230,23.007,864,  23.872 ,5.314
Alvinlândia,11.915,1.590,6.978,7.632,28.114,669,  28.783 ,9.780
Americana,7.758,1.949.798,449.424,2.214.203,4.621.183,897.819,  5.519.002 ,27.267
Américo Brasiliense,17.097,77.248,59.989,109.731,264.066,29.336,  293.401 ,9.030
Américo de Campos,10.272,2.344,11.116,13.037,36.768,1.590,  38.358 ,6.754
Amparo,123.924,679.357,133.647,538.515,1.475.443,237.756,  1.713.200 ,26.648
Analândia,17.073,30.022,12.814,21.626,81.535,4.503,  86.038 ,21.072
Andradina,46.951,339.204,103.156,366.353,855.664,71.777,  927.441 ,16.736
Angatuba,83.898,97.926,40.630,81.290,303.743,20.601,  324.344 ,15.185
Anhembi,46.564,10.210,13.053,15.839,85.665,10.335,  96.000 ,18.113
Anhumas,13.857,3.967,7.210,7.335,32.369,890,  33.259 ,9.110
Aparecida,953,32.879,66.863,236.805,337.500,23.964,  361.464 ,10.338
Aparecida d'Oeste,6.062,2.776,8.397,10.383,27.618,1.187,  28.805 ,6.236
