MUNICIPIO,AGROPECUARIA,INDUSTRIA,ADM PUBLICA,SUBTOTAL,TOTAL,IMPOSTOS,PIB,PIB CAPITA
Adamantina,24.235,76.271,58.691,190.954,350.152,30.180,380.332,11.264
Adolfo,13.738,4.334,7.316,8.482,33.870,907,34.777,9.544
Aguaí,77.702,120.424,41.946,110.897,350.969,22.504,373.473,12.373
Águas da Prata,4.216,5.027,10.862,16.133,36.239,1.798,38.037,5.189
Águas de Lindóia,3.042,12.133,27.013,85.974,128.162,10.533,138.696,8.306
Águas de Santa Bárbara,16.216,4.235,10.432,15.451,46.334,2.407,48.741,8.980
Águas de São Pedro,0,4.747,7.548,31.680,43.974,2.286,46.261,20.228
Agudos,37.759,337.313,49.140,158.941,583.153,172.625,755.778,22.507
Alambari,20.823,1.509,6.570,6.276,35.178,704,35.882,8.431
Alfredo Marcondes,3.189,3.363,5.574,7.746,19.870,901,20.772,5.450
Altair,29.627,2.887,7.067,9.297,48.878,1.690,50.568,13.831
Altinópolis,81.352,8.921,23.052,67.835,181.160,5.592,186.751,11.916
Alto Alegre,14.290,7.841,6.951,9.805,38.887,1.089,39.976,9.548
Alumínio,4.030,628.032,37.700,178.185,847.946,312.729,1.160.676,71.913
Álvares Florence,10.812,42.020,6.353,14.335,73.519,1.523,75.043,18.192
Álvares Machado,10.452,30.227,33.272,57.639,131.589,14.085,145.674,6.263
Álvaro de Carvalho,5.342,1.346,6.793,5.061,18.541,499,19.040,4.352
Alvinlândia,5.154,1.445,5.397,5.276,17.273,430,17.703,6.067
Americana,4.183,1.716.579,352.519,1.650.647,3.723.929,714.061,4.437.990,22.546
Américo Brasiliense,16.108,69.019,47.499,95.133,227.760,24.264,252.024,8.065
Américo de Campos,6.058,2.991,7.494,13.128,29.672,1.892,31.564,5.575
Amparo,53.498,541.552,102.999,421.365,1.119.413,184.867,1.304.281,20.615
Analândia,15.449,20.578,9.153,16.199,61.378,3.234,64.612,16.470
Andradina,37.175,269.209,85.699,285.286,677.369,56.235,733.604,13.234
Angatuba,66.801,67.693,27.846,59.393,221.732,13.531,235.263,11.296
Anhembi,31.078,5.471,9.303,11.266,57.118,4.120,61.238,12.114
Anhumas,9.919,2.806,5.177,5.818,23.721,613,24.334,6.805
Aparecida,792,28.727,50.847,181.207,261.574,19.177,280.751,8.051
Aparecida d'Oeste,7.172,2.617,6.489,8.955,25.233,819,26.052,5.519
Apiaí,48.381,29.303,35.587,56.479,169.750,10.194,179.944,6.804
Araçariguama,1.115,130.882,26.375,93.639,252.011,77.815,329.826,23.530
Araçatuba,51.424,348.142,264.955,1.192.784,1.857.306,227.426,2.084.732,11.857
