MUNICIPIO,AGROPECUARIA,INDUSTRIA,ADM PUBLICA,SUBTOTAL,TOTAL,IMPOSTOS,PIB,PIB CAPITA
Adamantina,24.322,46.484,41.875,144.220,256.901,24.145,281.046,8.355
Adolfo,11.077,2.523,5.634,7.068,26.303,955,27.258,7.419
Aguaí,54.744,67.511,29.796,74.497,226.549,15.255,241.803,8.339
Águas da Prata,3.910,3.621,9.091,15.944,32.566,2.435,35.001,4.842
Águas de Lindóia,2.324,9.945,20.313,73.909,106.492,8.003,114.494,6.995
Águas de Santa Bárbara,16.190,4.011,8.492,14.471,43.164,1.647,44.811,8.442
Águas de São Pedro,0,4.291,5.105,26.681,36.078,1.719,37.797,18.447
Agudos,34.053,190.572,36.760,114.406,375.790,127.915,503.705,15.261
Alambari,10.964,1.196,4.621,4.356,21.137,612,21.749,5.574
Alfredo Marcondes,3.126,829,4.209,6.041,14.205,719,14.924,3.979
Altair,25.607,2.356,5.227,7.567,40.758,508,41.266,11.511
Altinópolis,63.834,7.727,17.732,45.168,134.461,4.698,139.160,8.928
Alto Alegre,16.482,4.521,5.350,7.991,34.344,1.202,35.546,8.387
Alumínio,2.202,264.407,24.684,125.549,416.843,144.153,560.996,35.961
Álvares Florence,7.104,12.971,4.960,7.979,33.014,1.476,34.490,8.096
Álvares Machado,9.418,22.093,24.249,43.191,98.951,11.362,110.312,4.822
Álvaro de Carvalho,3.886,1.136,4.632,4.234,13.888,430,14.318,3.398
Alvinlândia,2.706,1.070,3.666,3.834,11.276,400,11.676,4.068
Americana,6.530,1.180.770,238.110,1.142.802,2.568.213,546.868,3.115.081,16.548
Américo Brasiliense,13.582,40.793,31.312,58.901,144.587,13.806,158.393,5.385
Américo de Campos,4.930,2.064,6.247,9.197,22.438,1.290,23.728,4.209
Amparo,43.378,286.497,73.142,304.831,707.847,136.880,844.727,13.722
Analândia,17.621,16.501,6.170,13.674,53.966,2.273,56.239,15.179
Andradina,43.419,230.813,60.766,240.872,575.870,56.707,632.577,11.434
Angatuba,39.827,40.749,21.745,43.811,146.133,11.911,158.044,7.926
Anhembi,19.395,4.889,6.077,8.604,38.966,1.219,40.185,8.481
Anhumas,7.281,4.609,3.889,4.543,20.322,534,20.856,5.988
Aparecida,555,20.009,39.250,138.670,198.484,15.034,213.518,6.120
Aparecida d'Oeste,8.240,1.496,5.133,8.068,22.936,858,23.794,4.891
Apiaí,41.217,37.868,27.814,42.535,149.435,12.998,162.433,6.020
Araçariguama,1.101,81.825,17.175,69.808,169.909,62.581,232.489,18.982
Araçatuba,54.708,243.427,212.110,855.168,1.365.412,171.736,1.537.148,8.936
Araçoiaba da Serra,8.699,10.919,23.159,48.990,91.767,11.351,103.118,4.850
Aramina,18.019,5.602,6.109,12.539,42.269,2.028,44.297,9.143
Arandu,8.883,1.957,7.918,6.813,25.571,805,26.375,4.310
Arapeí,1.021,354,4.155,2.407,7.938,196,8.134,3.118
Araraquara,75.536,599.065,228.727,1.029.412,1.932.740,282.978,2.215.718,11.818
Araras,83.211,472.827,127.557,582.607,1.266.202,173.729,1.439.931,13.463
Arco-Íris,8.683,2.297,2.931,3.292,17.202,468,17.670,8.315
Arealva,16.342,4.533,5.553,11.794,38.221,1.621,39.842,5.407
Areias,5.791,742,5.260,3.711,15.504,347,15.851,4.376
Areiópolis,14.036,6.334,11.721,13.907,45.997,1.491,47.488,4.568
